"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"705037927379075","2","1.446","0.464","10.125","none","0"
"705037947379075","2","1.446","0.464","10.125","none","0"
"705037973799082","2","1.446","0.464","10.125","none","0"
"705037993389315","2","1.465","0.522","9.972","none","0"
"705038013378855","2","1.465","0.522","10.048","none","0"
"705038033378703","2","1.408","0.483","10.144","none","0"
"705038054361551","2","1.389","0.522","10.029","none","0"
"705038073413861","2","1.37","0.56","10.029","none","0"
"705038093385940","2","1.408","0.483","9.895","none","0"
"705038113377250","2","1.408","0.483","10.068","none","0"
"705038133378713","2","1.351","0.56","10.029","none","0"
"705038153400946","2","1.389","0.483","9.914","none","0"
"705038173390025","2","1.37","0.483","10.106","none","0"
"705038193384027","2","1.408","0.579","10.01","none","0"
"705038213379337","2","1.484","0.503","9.972","none","0"
"705038233378262","2","1.484","0.464","10.029","none","0"
"705038253376725","2","1.56","0.503","9.972","none","0"
"705038273389035","2","1.618","0.483","10.087","none","0"
"705038293425729","2","1.427","0.541","9.895","none","0"
"705038313377731","2","1.522","0.292","10.106","none","0"
"705038333378656","2","1.675","0.273","9.914","none","0"
"705038353379274","2","1.656","0.254","10.068","none","0"
"705038373388968","2","1.503","0.426","10.278","none","0"
"705038393411124","2","1.503","0.426","9.972","none","0"
"705038413403587","2","1.503","0.292","9.953","none","0"
"705038433379743","2","1.522","0.464","10.144","none","0"
"705038453383284","2","1.56","0.33","10.048","none","0"
"705038473408516","2","1.618","0.33","9.953","none","0"
"705038493387980","2","1.618","0.407","10.01","none","0"
"705038513390828","2","1.599","0.407","10.029","none","0"
"705038533382753","2","1.56","0.368","9.953","none","0"
"705038553379601","2","1.503","0.349","9.799","none","0"
"705038574999757","2","1.541","0.407","10.087","none","0"
"705038593829452","2","1.599","0.388","10.087","none","0"
"705038613427377","2","1.599","0.33","9.876","none","0"
"705038633381840","2","1.522","0.349","10.087","none","0"
"705038653379688","2","1.522","0.292","10.163","none","0"
"705038673385613","2","1.427","0.273","9.991","none","0"
"705038693402538","2","1.408","0.388","10.029","none","0"
"705038713422848","2","1.389","0.33","9.953","none","0"
"705038733414004","2","1.56","0.33","10.106","none","0"
"705038753498544","2","1.465","0.407","10.087","none","0"
"705038773383085","2","1.656","0.426","9.953","none","0"
"705038793978779","2","1.637","0.33","9.876","none","0"
"705038813492397","2","1.714","0.407","10.182","none","0"
"705038833391783","2","1.599","0.407","9.991","none","0"
"705038853379478","2","1.656","0.292","9.914","none","0"
"705038873378633","2","1.675","0.407","10.182","none","0"
"705038893436866","2","1.656","0.407","10.087","none","0"
"705038913393330","2","1.675","0.388","10.01","none","0"
"705038933391870","2","1.733","0.388","10.106","none","0"
"705038953381334","2","1.522","0.368","10.087","none","0"
"705038973380259","2","1.312","0.292","9.933","none","0"
"705038993596799","2","1.37","0.311","10.029","none","0"
"705039013399647","2","1.408","0.349","10.106","none","0"
"705039034184880","2","1.522","0.349","10.182","none","0"
"705039053405651","2","1.446","0.388","10.029","none","0"
"705039073380423","2","1.465","0.426","9.876","none","0"
"705039093377963","2","1.427","0.388","9.933","none","0"
"705039113422273","2","1.293","0.33","9.914","none","0"
"705039133404275","2","1.37","0.368","9.876","none","0"
"705039153400508","2","1.37","0.349","9.933","none","0"
"705039173383663","2","1.465","0.349","9.991","none","0"
"705039193387896","2","1.408","0.368","10.01","none","0"
"705039213403667","2","1.484","0.445","10.106","none","0"
"705039233395054","2","1.408","0.464","10.125","none","0"
"705039253393441","2","1.522","0.464","10.068","none","0"
"705039273383981","2","1.541","0.464","10.106","none","0"
"705039293379906","2","1.675","0.483","10.087","none","0"
"705039313381062","2","1.79","0.445","10.087","none","0"
"705039333794833","2","1.675","0.407","10.029","none","0"
"705039353424066","2","1.408","0.368","9.953","none","0"
"705039373497606","2","1.37","0.292","9.991","none","0"
"705039393378916","2","1.541","0.388","10.01","none","0"
"705039413378303","2","1.541","0.407","10.01","none","0"
"705039433394382","2","1.408","0.407","9.914","none","0"
"705039453413922","2","1.503","0.407","9.914","none","0"
"705039473391386","2","1.503","0.388","10.087","none","0"
"705039493378695","2","1.274","0.388","9.972","none","0"
"705039513384236","2","1.293","0.368","9.991","none","0"
"705039533424392","2","1.484","0.368","9.972","none","0"
"705039553422471","2","1.446","0.407","10.048","none","0"
"705039573380165","2","1.427","0.407","9.972","none","0"
"705039593381090","2","1.465","0.388","9.972","none","0"
"705039613377630","2","1.522","0.426","10.068","none","0"
"705039633383171","2","1.503","0.388","10.029","none","0"
"705039653517558","2","1.484","0.349","10.01","none","0"
"705039673421098","2","1.484","0.349","9.953","none","0"
"705039693380869","2","1.427","0.407","10.068","none","0"
"705039713379487","2","1.408","0.388","10.087","none","0"
"705039733378412","2","1.389","0.426","10.048","none","0"
"705039753553260","2","1.389","0.426","10.01","none","0"
"705039775286493","2","1.389","0.407","10.01","none","0"
"705039793435572","2","1.37","0.426","10.048","none","0"
"705039813379112","2","1.427","0.388","10.029","none","0"
"705039833378191","2","1.446","0.349","10.068","none","0"
"705039853422193","2","1.484","0.388","10.068","none","0"
"705039873434810","2","1.484","0.368","9.991","none","0"
"705039893382582","2","1.465","0.407","10.048","none","0"
"705039913379507","2","1.465","0.407","10.029","none","0"
"705039933379201","2","1.484","0.426","10.068","none","0"
"705039953401588","2","1.522","0.388","10.01","none","0"
"705039973394436","2","1.503","0.388","9.953","none","0"
