"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"2614843504125338","3","-0.025","-0.178","10.612","none","0"
"2614843524120193","3","-0.399","-0.202","8.837","none","0"
"2614843544115256","3","0.772","0.258","9.951","none","0"
"2614843564110020","3","0.468","-0.063","10.363","none","0"
"2614843584105010","3","0.2","0.048","9.465","none","0"
"2614843604099847","3","0.387","0.028","10.298","none","0"
"2614843624094933","3","0.252","0.052","9.668","none","0"
"2614843644089943","3","0.473","0.057","9.917","none","0"
"2614843664084794","3","0.303","0.031","9.901","none","0"
"2614843684079779","3","0.284","0.04","9.91","none","0"
"2614843704074549","3","0.392","0.062","9.848","none","0"
"2614843724069607","3","0.401","0.024","10.011","none","0"
"2614843744064462","3","0.272","0.048","9.826","none","0"
"2614843764059453","3","0.327","0.048","9.846","none","0"
"2614843784054294","3","0.406","0.048","9.92","none","0"
"2614843804049265","3","0.394","0.055","9.929","none","0"
"2614843824044106","3","0.315","0.052","9.937","none","0"
"2614843844039073","3","0.349","0.019","9.898","none","0"
"2614843864033953","3","0.428","0.045","9.879","none","0"
"2614843884029030","3","0.449","0.074","9.997","none","0"
"2614843904024035","3","0.337","0.014","9.884","none","0"
"2614843924018828","3","0.116","0.103","9.795","none","0"
"2614843944013890","3","0.248","0.05","9.939","none","0"
"2614843964008722","3","0.346","0.062","9.965","none","0"
"2614843984003717","3","0.382","0.045","9.965","none","0"
"2614844003998553","3","0.262","0.028","9.932","none","0"
"2614844023993534","3","0.138","0.043","9.886","none","0"
"2614844043988386","3","0.219","0.117","9.946","none","0"
"2614844063983357","3","0.54","0.127","9.922","none","0"
"2614844083978188","3","0.301","0.107","9.7","none","0"
"2614844103973275","3","0.035","0.201","9.604","none","0"
"2614844123968025","3","0.43","0.052","9.834","none","0"
"2614844143963010","3","0.423","0.088","9.98","none","0"
"2614844163958092","3","0.303","0.072","10.241","none","0"
"2614844183952909","3","0.188","0.119","9.726","none","0"
"2614844203947938","3","0.265","0.117","9.735","none","0"
"2614844223942785","3","0.214","0.083","9.894","none","0"
"2614844243937770","3","0.135","0.083","9.929","none","0"
"2614844263932640","3","0.219","0.057","10.076","none","0"
"2614844283927722","3","0.382","0.091","9.877","none","0"
"2614844303922506","3","0.44","0.124","9.826","none","0"
"2614844323917603","3","0.308","0.117","9.817","none","0"
"2614844343912376","3","0.19","0.072","9.894","none","0"
"2614844363907367","3","0.279","0.076","9.977","none","0"
"2614844383902214","3","0.373","0.105","9.929","none","0"
"2614844403897291","3","0.351","0.093","9.886","none","0"
"2614844423892281","3","0.279","0.088","9.807","none","0"
"2614844443887069","3","0.296","0.098","9.848","none","0"
"2614844463882209","3","0.317","0.117","9.956","none","0"
"2614844483876901","3","0.301","0.088","9.953","none","0"
"2614844503871987","3","0.267","0.083","9.848","none","0"
"2614844523866833","3","0.32","0.076","9.872","none","0"
"2614844543861838","3","0.289","0.143","9.853","none","0"
"2614844563856656","3","0.279","0.086","9.932","none","0"
"2614844583851728","3","0.267","0.081","9.896","none","0"
"2614844603846742","3","0.281","0.105","9.92","none","0"
"2614844623841507","3","0.305","0.107","9.886","none","0"
"2614844643836564","3","0.298","0.093","9.85","none","0"
"2614844663831425","3","0.26","0.103","9.908","none","0"
"2614844683826429","3","0.291","0.107","9.922","none","0"
"2614844703821222","3","0.301","0.1","9.891","none","0"
"2614844723816362","3","0.284","0.081","9.874","none","0"
"2614844743811132","3","0.26","0.11","9.896","none","0"
"2614844763806142","3","0.305","0.098","9.92","none","0"
"2614844783801002","3","0.303","0.098","9.917","none","0"
"2614844803796074","3","0.25","0.088","9.894","none","0"
"2614844823790843","3","0.265","0.105","9.896","none","0"
"2614844843785805","3","0.315","0.088","9.917","none","0"
"2614844863780877","3","0.286","0.083","9.903","none","0"
"2614844883775742","3","0.267","0.098","9.898","none","0"
"2614844903770727","3","0.281","0.088","9.894","none","0"
"2614844923765541","3","0.289","0.1","9.877","none","0"
"2614844943760530","3","0.277","0.103","9.886","none","0"
"2614844963755381","3","0.27","0.091","9.867","none","0"
"2614844983750371","3","0.281","0.095","9.874","none","0"
"2614845003745217","3","0.293","0.107","9.898","none","0"
"2614845023740242","3","0.277","0.095","9.886","none","0"
"2614845043735021","3","0.267","0.088","9.879","none","0"
"2614845063730040","3","0.284","0.091","9.882","none","0"
"2614845083725122","3","0.289","0.088","9.901","none","0"
"2614845103719981","3","0.286","0.095","9.891","none","0"
"2614845123714977","3","0.272","0.095","9.886","none","0"
"2614845143709738","3","0.291","0.091","9.903","none","0"
"2614845163704828","3","0.279","0.1","9.901","none","0"
"2614845183699688","3","0.272","0.086","9.898","none","0"
"2614845203694688","3","0.286","0.098","9.901","none","0"
"2614845223689544","3","0.298","0.103","9.894","none","0"
"2614845243684635","3","0.277","0.086","9.889","none","0"
"2614845263679434","3","0.277","0.098","9.894","none","0"
"2614845283674449","3","0.284","0.105","9.882","none","0"
"2614845303669291","3","0.293","0.086","9.877","none","0"
"2614845323664286","3","0.281","0.11","9.894","none","0"
"2614845343659156","3","0.286","0.095","9.898","none","0"
"2614845363654237","3","0.284","0.105","9.884","none","0"
"2614845383648987","3","0.284","0.093","9.891","none","0"
"2614845403644002","3","0.27","0.093","9.891","none","0"
"2614845423639064","3","0.279","0.098","9.884","none","0"
"2614845443633844","3","0.281","0.1","9.884","none","0"
"2614845463628921","3","0.293","0.081","9.901","none","0"
"2614845483623776","3","0.289","0.086","9.884","none","0"
"2614845503618776","3","0.289","0.103","9.903","none","0"
"2614845523613853","3","0.27","0.103","9.891","none","0"
"2614845543608622","3","0.279","0.115","9.891","none","0"
"2614845563603685","3","0.284","0.091","9.884","none","0"
"2614845583598424","3","0.286","0.1","9.889","none","0"
"2614845603593260","3","0.289","0.1","9.905","none","0"
"2614845623588250","3","0.279","0.093","9.886","none","0"
"2614845643583347","3","0.281","0.091","9.886","none","0"
"2614845663578203","3","0.291","0.091","9.882","none","0"
"2614845683572967","3","0.291","0.098","9.894","none","0"
"2614845703568049","3","0.284","0.112","9.903","none","0"
"2614845723563107","3","0.289","0.103","9.905","none","0"
"2614845743557871","3","0.293","0.095","9.898","none","0"
"2614845763552861","3","0.286","0.088","9.896","none","0"
"2614845783547962","3","0.284","0.095","9.903","none","0"
"2614845803542731","3","0.277","0.098","9.896","none","0"
"2614845823537593","3","0.293","0.1","9.908","none","0"
"2614845843532573","3","0.298","0.095","9.877","none","0"
"2614845863527641","3","0.293","0.093","9.87","none","0"
"2614845883522515","3","0.277","0.083","9.891","none","0"
"2614845903517520","3","0.291","0.095","9.92","none","0"
"2614845923512376","3","0.281","0.098","9.898","none","0"
"2614845943507385","3","0.274","0.1","9.882","none","0"
"2614845963502231","3","0.274","0.107","9.894","none","0"
"2614845983497241","3","0.286","0.103","9.896","none","0"
"2614846003492318","3","0.274","0.105","9.894","none","0"
"2614846023487160","3","0.258","0.1","9.898","none","0"
"2614846043482150","3","0.293","0.079","9.905","none","0"
"2614846063476915","3","0.293","0.098","9.898","none","0"
"2614846083472011","3","0.27","0.076","9.886","none","0"
"2614846103466837","3","0.289","0.095","9.908","none","0"
"2614846123461805","3","0.279","0.086","9.896","none","0"
"2614846143456607","3","0.281","0.1","9.903","none","0"
"2614846163451655","3","0.289","0.1","9.882","none","0"
"2614846183446512","3","0.281","0.095","9.891","none","0"
"2614846203441502","3","0.272","0.093","9.898","none","0"
"2614846223436338","3","0.281","0.093","9.894","none","0"
"2614846243431338","3","0.262","0.1","9.896","none","0"
"2614846263426198","3","0.267","0.093","9.903","none","0"
"2614846283421188","3","0.284","0.091","9.901","none","0"
"2614846303416025","3","0.279","0.107","9.903","none","0"
"2614846323411025","3","0.277","0.1","9.889","none","0"
"2614846343406116","3","0.27","0.086","9.891","none","0"
"2614846363400973","3","0.277","0.091","9.889","none","0"
"2614846383395751","3","0.281","0.093","9.891","none","0"
"2614846403390823","3","0.277","0.095","9.908","none","0"
"2614846423385818","3","0.281","0.1","9.896","none","0"
"2614846443380683","3","0.291","0.103","9.905","none","0"
"2614846463375703","3","0.281","0.103","9.901","none","0"
"2614846483370520","3","0.281","0.093","9.894","none","0"
"2614846503365524","3","0.277","0.098","9.879","none","0"
"2614846523360367","3","0.277","0.093","9.903","none","0"
"2614846543355376","3","0.293","0.098","9.882","none","0"
"2614846563350444","3","0.289","0.093","9.882","none","0"
"2614846583345276","3","0.286","0.095","9.905","none","0"
"2614846603340068","3","0.274","0.088","9.903","none","0"
"2614846623335140","3","0.27","0.083","9.879","none","0"
"2614846643330117","3","0.267","0.083","9.901","none","0"
"2614846663324963","3","0.274","0.103","9.874","none","0"
"2614846683319981","3","0.293","0.098","9.879","none","0"
"2614846703315077","3","0.284","0.098","9.903","none","0"
"2614846723309852","3","0.293","0.1","9.903","none","0"
"2614846743304693","3","0.279","0.1","9.901","none","0"
"2614846763299693","3","0.284","0.1","9.92","none","0"
"2614846783294780","3","0.289","0.107","9.903","none","0"
"2614846803289636","3","0.284","0.105","9.903","none","0"
"2614846823284621","3","0.277","0.091","9.889","none","0"
"2614846843279467","3","0.286","0.088","9.896","none","0"
"2614846863274478","3","0.279","0.098","9.896","none","0"
"2614846883269339","3","0.267","0.098","9.891","none","0"
"2614846903264368","3","0.272","0.083","9.896","none","0"
"2614846923259185","3","0.277","0.088","9.891","none","0"
"2614846943254281","3","0.281","0.1","9.879","none","0"
"2614846963249305","3","0.284","0.098","9.894","none","0"
"2614846983244074","3","0.27","0.098","9.872","none","0"
"2614847003238896","3","0.286","0.088","9.884","none","0"
"2614847023233968","3","0.284","0.103","9.886","none","0"
"2614847043228732","3","0.291","0.095","9.891","none","0"
"2614847063223738","3","0.279","0.098","9.92","none","0"
"2614847083218589","3","0.272","0.103","9.898","none","0"
"2614847103213670","3","0.281","0.11","9.884","none","0"
"2614847123208420","3","0.286","0.105","9.877","none","0"
"2614847143203521","3","0.284","0.1","9.901","none","0"
"2614847163198506","3","0.277","0.105","9.877","none","0"
"2614847183193573","3","0.277","0.105","9.901","none","0"
"2614847203188327","3","0.286","0.1","9.894","none","0"
"2614847223183159","3","0.291","0.095","9.901","none","0"
"2614847243178170","3","0.281","0.112","9.903","none","0"
"2614847263173246","3","0.291","0.105","9.896","none","0"
"2614847283168020","3","0.284","0.103","9.886","none","0"
"2614847303162866","3","0.286","0.095","9.882","none","0"
"2614847323157938","3","0.284","0.079","9.898","none","0"
"2614847343152924","3","0.277","0.093","9.91","none","0"
"2614847363147751","3","0.279","0.095","9.884","none","0"
"2614847383142746","3","0.279","0.107","9.879","none","0"
"2614847403137592","3","0.277","0.103","9.889","none","0"
"2614847423132588","3","0.277","0.093","9.898","none","0"
"2614847443127439","3","0.284","0.115","9.898","none","0"
"2614847463122444","3","0.281","0.083","9.91","sit down","0"
"2614847483117535","3","0.279","0.103","9.894","sit down","0"
"2614847503112411","3","0.284","0.103","9.891","sit down","0"
"2614847523107189","3","0.279","0.091","9.894","sit down","0"
"2614847543102266","3","0.274","0.095","9.886","sit down","0"
"2614847563097271","3","0.279","0.088","9.908","sit down","0"
"2614847583092098","3","0.279","0.098","9.87","sit down","0"
"2614847603087107","3","0.284","0.1","9.874","sit down","0"
"2614847623081930","3","0.279","0.103","9.889","sit down","0"
"2614847643076930","3","0.286","0.091","9.917","sit down","0"
"2614847663071810","3","0.291","0.1","9.905","sit down","0"
"2614847683066824","3","0.293","0.095","9.903","sit down","0"
"2614847703061920","3","0.272","0.086","9.889","sit down","0"
"2614847723056675","3","0.27","0.083","9.896","sit down","0"
"2614847743051737","3","0.279","0.115","9.898","sit down","0"
"2614847763046583","3","0.284","0.119","9.898","sit down","0"
"2614847783041339","3","0.274","0.095","9.886","sit down","0"
"2614847803036421","3","0.281","0.093","9.898","sit down","0"
