Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.919,-0.306,9.807,sit down,1
-0.612,-0.306,9.347000000000001,sit down,1
-0.7659999999999999,-0.306,9.5,sit down,1
-0.7659999999999999,-0.306,9.5,sit down,1
-1.072,-0.306,9.5,sit down,1
-0.919,-0.306,9.5,sit down,1
-0.919,-0.306,8.887,sit down,1
-1.225,-0.612,9.807,sit down,1
-1.5319999999999998,-0.45899999999999996,10.265999999999998,sit down,1
-1.685,-0.45899999999999996,10.265999999999998,sit down,1
-1.379,-0.45899999999999996,8.274,sit down,1
-1.5319999999999998,-0.45899999999999996,9.347000000000001,sit down,1
-1.5319999999999998,-0.7659999999999999,10.265999999999998,sit down,1
-1.072,-0.919,9.5,sit down,1
-0.919,-0.919,9.96,sit down,1
-0.919,-1.225,10.113,sit down,1
-0.919,-1.5319999999999998,9.807,sit down,1
-0.919,-1.685,9.96,sit down,1
-0.919,-1.685,9.96,sit down,1
-0.919,-1.992,9.96,sit down,1
-0.919,-2.145,9.96,sit down,1
-0.919,-2.145,9.96,sit down,1
-0.919,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.6039999999999996,9.96,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.306,-2.298,9.652999999999999,sit down,1
-0.45899999999999996,-2.298,9.652999999999999,sit down,1
-0.153,-2.298,9.652999999999999,sit down,1
-0.612,-1.992,9.193999999999999,sit down,1
-0.7659999999999999,-2.145,9.96,sit down,1
-0.45899999999999996,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.193999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.347000000000001,sit down,1
-0.612,-2.145,9.807,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.451,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.145,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,sit down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.145,9.652999999999999,lay down,1
-0.612,-2.145,9.652999999999999,lay down,1
-0.612,-2.145,9.652999999999999,lay down,1
-0.612,-2.451,9.347000000000001,lay down,1
-0.612,-2.451,9.807,lay down,1
-0.612,-2.451,9.807,lay down,1
-0.612,-2.451,9.807,lay down,1
-0.612,-2.451,9.807,lay down,1
-0.612,-2.451,9.807,lay down,1
-0.612,-2.145,9.5,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.652999999999999,lay down,1
-0.612,-2.298,9.96,lay down,1
-0.612,-2.298,9.807,lay down,1
-0.612,-2.298,9.807,lay down,1
-0.612,-2.298,9.807,lay down,1
-0.919,-2.298,9.807,lay down,1
-0.919,-1.992,9.807,lay down,1
-0.919,-2.145,9.807,lay down,1
-0.612,-2.145,9.807,lay down,1
-0.612,-2.145,9.807,lay down,1
-0.612,-2.145,9.807,lay down,1
-0.612,-2.145,9.807,lay down,1
-0.306,-2.145,9.807,lay down,1
-0.612,-2.145,9.807,lay down,1
-0.612,-2.145,9.807,lay down,1
-0.612,-1.379,9.807,lay down,1
-0.612,-1.225,9.807,lay down,1
-0.919,-1.225,9.807,lay down,1
-0.919,-1.225,9.5,lay down,1
-0.919,-1.225,9.347000000000001,lay down,1
-0.919,-1.225,9.347000000000001,lay down,1
-0.306,-0.7659999999999999,9.96,lay down,1
-0.919,-0.7659999999999999,9.347000000000001,lay down,1
-1.225,-1.072,9.807,lay down,1
-0.919,-1.072,9.807,lay down,1
-0.7659999999999999,-1.072,9.807,lay down,1
-0.7659999999999999,-1.072,9.807,lay down,1
-0.7659999999999999,-1.072,9.807,lay down,1
-0.7659999999999999,-1.072,9.807,lay down,1
-0.7659999999999999,-0.7659999999999999,9.807,lay down,1
-0.7659999999999999,-1.072,9.5,lay down,1
-1.225,-0.919,10.265999999999998,lay down,1
-1.072,-0.919,9.807,lay down,1
-1.072,-0.612,9.652999999999999,lay down,1
-0.7659999999999999,-0.612,9.652999999999999,lay down,1
-0.7659999999999999,-0.919,9.652999999999999,lay down,1
-0.7659999999999999,-0.7659999999999999,9.96,lay down,1
-0.7659999999999999,-0.7659999999999999,9.652999999999999,lay down,1
-0.7659999999999999,-0.7659999999999999,9.96,lay down,1
-1.072,-0.7659999999999999,10.113,lay down,1
-1.225,-0.7659999999999999,9.807,lay down,1
-1.225,-0.7659999999999999,9.807,lay down,1
