Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle
0.153,-0.612,9.5,none,1
0.153,-0.612,9.5,none,1
0.153,-0.612,10.113,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.306,9.96,none,1
0.153,-0.612,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.652999999999999,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
0.153,-0.45899999999999996,9.96,none,1
