Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle,Mean X,Mean Y,Mean Z,Max X,Max Y,Max Z,Standard deviation X,Standard deviation Y,Standard deviation Z,Variance X,Variance Y,Variance Z,RMS X,RMS Y,RMS Z,Peak to peak X,Peak to peak Y,Peak to peak Z
-0.306,-0.153,9.652999999999999,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,10.113,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
-0.306,-0.153,9.807,none,1,-0.306,-0.153,9.80776,-0.306,-0.153,10.113,0.0,0.0,0.024271959957963943,0.0,0.0,0.000589128040201005,0.30600000000000005,0.15300000000000002,9.807789883556858,0.0,0.0,0.46000000000000085
